,Unnamed: 0,original_datarow,Species,Quantity,Price,Currency,Price_euro,Intent,Seller_id,lat,lon,Conservation status,CITES
247,454,151036,Anolis pogus,[],[],[],[],Seller,174,[],[],NT,0
248,455,151036,Anolis bimaculatus,[],[],[],[],Seller,174,[],[],LC,0
249,456,151348,Pholidoscelis plei,[],[],[],[],Seller,174,[],[],LC,0
250,458,151719,Anolis extremus,[],[],[],[],Seller,173,39.7837304,-100.445882,LC,0
251,460,152099,Anolis sabanus,[],[],[],[],Seller,176,[],[],NT,0
252,462,152465,Anolis marmoratus,[],[],[],[],Seller,174,[],[],LC,0
253,463,152467,Anolis gingivinus,[],[],[],[],Seller,174,[],[],LC,0
254,464,152486,Anolis extremus,[],[],[],[],Seller,174,[],[],LC,0
255,465,152487,Anolis oculatus,[],[],[],[],Seller,174,[],[],NT,0
256,466,152671,Corallus cookii,[],[],[],[],Seller,177,[],[],NT,Appendix II
257,476,153624,Anolis roquet,[],[],[],[],Seller,181,[],[],LC,0
258,477,153626,Anolis extremus,[],[],[],[],Seller,104,[],[],LC,0
259,481,153925,Gonatodes daudini,[],[],[],[],Seller,183,[],[],CR,Appendix I
260,483,154375,Anolis sabanus,[],[],[],[],Seller,184,[],[],NT,0
261,484,154375,Anolis leachii,[],[],[],[],Seller,184,[],[],LC,0
262,488,154755,Anolis marmoratus,[],[],[],[],Seller,187,[],[],LC,0
263,492,155535,Anolis bimaculatus,[],[],[],[],Seller,187,[],[],LC,0
264,495,156292,Anolis desiradei,[],[],[],[],Seller,187,[],[],LC,0
265,496,156292,Anolis terraealtae,[],[],[],[],Seller,187,[],[],LC,0
266,501,157420,Anolis roquet,[],[],[],[],Seller,154,[],[],LC,0
267,508,159323,Anolis oculatus,[],[],[],[],Seller,190,[],[],NT,0
268,509,159323,Anolis pogus,[],[],[],[],Seller,190,[],[],NT,0
269,511,159708,Pholidoscelis plei,[],[],[],[],Seller,191,39.7837304,-100.445882,LC,0
270,512,159709,Anolis sabanus,[],[],[],[],Seller,190,[],[],NT,0
271,513,159709,Anolis bimaculatus,[],[],[],[],Seller,190,[],[],LC,0
272,519,161147,Anolis bimaculatus,[],[],[],[],Seller,183,39.7837304,-100.445882,LC,0
273,537,163351,Anolis aeneus,[],[],[],[],[],164,[],[],LC,0
274,559,166103,Anolis sabanus,[],[],[],[],Seller,209,[],[],NT,0
275,560,166103,Anolis bimaculatus,[],[],[],[],Seller,209,[],[],LC,0
276,562,166113,Anolis bimaculatus,[],[],[],[],Seller,211,[],[],LC,0
277,563,166118,Anolis extremus,[],[],[],[],Seller,212,[],[],LC,0
278,568,166758,Alsophis rufiventris,[],[],[],[],Seller,174,[],[],VU,0
279,573,167207,Corallus grenadensis,[],[],[],[],Seller,217,[],[],LC,Appendix II
280,581,168632,Mabuya mabouya,[],[],[],[],Seller,221,[],[],CR,0
281,582,168632,Corallus cookii,[],[],[],[],Seller,221,[],[],NT,Appendix II
282,588,170337,Anolis bimaculatus,[],[],[],[],Seller,183,[],[],LC,0
283,590,170687,Thecadactylus oskrobapreinorum,[],[],[],[],Seller,91,39.7837304,-100.445882,DD,0
284,592,170687,Anolis bimaculatus,[],[],[],[],Seller,91,39.7837304,-100.445882,LC,0
285,596,170708,Anolis sabanus,[],[],[],[],Seller,183,39.7837304,-100.445882,NT,0
286,600,171192,Anolis bimaculatus,[],[],[],[],Seller,224,39.7837304,-100.445882,LC,0
287,601,171205,Anolis extremus,[],[],[],[],Seller,225,[],[],LC,0
288,603,171554,Anolis sabanus,[],[],[],[],Seller,183,[],[],NT,0
289,620,172077,Anolis sabanus,[],[],[],[],Seller,165,[],[],NT,0
290,621,172077,Anolis leachii,[],[],[],[],Seller,165,[],[],LC,0
291,631,174639,Sphaerodactylus sputator,[],[],[],[],Seller,91,39.7837304,-100.445882,LC,0
292,640,175524,Anolis leachii,[],[],[],[],Seller,233,[],[],LC,0
293,642,176368,Anolis aeneus,[],[],[],[],Seller,234,[],[],LC,0
294,643,176368,Anolis roquet,[],[],[],[],Seller,234,[],[],LC,0
295,644,176368,Anolis trinitatis,[],[],[],[],Seller,234,[],[],LC,0
296,645,178110,Anolis extremus,[],[],[],[],Seller,91,[],[],LC,0
297,646,178110,Anolis marmoratus,[],[],[],[],Seller,91,[],[],LC,0
298,647,178110,Sphaerodactylus sputator,[],[],[],[],Seller,91,[],[],LC,0
299,657,178958,Anolis marmoratus,[],[],[],[],Seller,91,39.7837304,-100.445882,LC,0
300,664,180676,Anolis gingivinus,[],[],[],[],[],241,[],[],LC,0
301,665,180676,Anolis aeneus,[],[],[],[],[],241,[],[],LC,0
302,666,180676,Anolis pogus,[],[],[],[],[],241,[],[],NT,0
303,669,182370,Anolis bimaculatus,[],[],[],[],Seller,152,[],[],LC,0
304,677,184525,Anolis desiradei,[],[],[],[],Seller,91,[],[],LC,0
305,678,184525,Anolis oculatus,[],[],[],[],Seller,91,[],[],NT,0
306,679,184525,Anolis gingivinus,[],[],[],[],Seller,91,[],[],LC,0
307,680,184525,Anolis terraealtae,[],[],[],[],Seller,91,[],[],LC,0
308,692,192583,Sphaerodactylus kirbyi,[],[],[],[],Seller,174,[],[],VU,0
309,697,198145,Anolis leachii,[],[],[],[],Seller,249,[],[],LC,0
310,705,199820,Anolis sabanus,[],[],[],[],Seller,252,[],[],NT,0
311,717,204463,Thecadactylus oskrobapreinorum,[],[],[],[],Seller,105,[],[],DD,0
312,722,206380,Anolis leachii,[],[],[],[],[],162,[],[],LC,0
313,724,206497,Anolis leachii,[],[],[],[],Seller,162,49.7439047,15.3381061,LC,0
314,729,213144,Sphaerodactylus sabanus,[],[],[],[],Seller,174,[],[],LC,0
315,730,214436,Sphaerodactylus fantasticus,[],[],[],[],Seller,258,[],[],LC,0
